Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA)
Catalyst Commercial Services,catalyst commercial services,GCAP23177,https://www.catalyst-commercial.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,17/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
GIS/GNS flow,gis/gns flow,GCAP23175,https://www.pinterest.co.uk/lukebyczynski/_created/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Makesworth Ltd T/ A Makesworth Accountants,makesworth t/ makesworth accountants,GCAP23176,http://www.makesworth.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Shuttle Planet,shuttle planet,GCAP23178,https://www.shuttleplanet.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Transportation services,,17/07/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Tokmanni Oy,tokmanni,GCAP2800,https://www.tokmanni.fi/,743700VMG6KWF0FW1560,Finland,Western European and Others Group (WEOG),,,Company,Retail,,17/07/2020,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Dalmia Bharat Limited,dalmia bharat,GCAP26870,https://www.dalmiabharat.com/,335800Q2I12HTQ7ETZ32,India,Asia-Pacific Group,,,Company,Materials,,17/07/2019,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Enel SpA,enel,,https://www.enel.com/,WOCMU6HCI0OJWNPRZS33,Italy,Western European and Others Group (WEOG),,,Company,Power generation,,17/07/2019,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Forster Communictions,forster communictions,GCAP18067,https://www.forsters.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/07/2019,Own Website,,https://www.forster.co.uk/social-change-pr/impacts/,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Telia Company AB,telia,,http://telia.com/,213800FSR9RNDUOTXO25,Sweden,Western European and Others Group (WEOG),,,Company,Services,,17/07/2019,CDP,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,
Unilever plc,unilever,,https://www.unilever.com/,549300MKFYEKVRWML317,United Kingdom,Western European and Others Group (WEOG),,,Company,Manufacturing,,17/07/2019,CDP,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,
Wholegrain Digital,wholegrain digital,GCAP18103,http://www.wholegraindigital.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,17/07/2019,Own Website,,https://www.wholegraindigital.com/business-reports/,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Meridian Exports,meridian exports,,,,India,Asia-Pacific Group,,,SME,Leather products manufacturing,,17/06/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Steven Hunt & Associates,steven hunt associates,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,17/06/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Taylors Wines,taylors wines,,taylorswines.com.au,,Australia,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,17/06/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Airway Medical Ltd,airway medical,GCAP22767,http://www.airwaymedical.net,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Biotech, health care & pharma",,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Autoliv Inc,autoliv,GCAP22147,https://www.autoliv.com/,A23RUXWKASG834LTMK28,Sweden,Western European and Others Group (WEOG),,,Company,Manufacturing,,17/06/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Climate Change Risk Management Ltd,climate change risk management,GCAP22913,http://www.ccrm.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Cymphony,cymphony,GCAP22911,http://www.cymphony.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
DTL Creative,dtl creative,,https://www.dtl-creative.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Fidem Consulting Limited,fidem consulting,GCAP22907,http://www.fidem.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Foodservice Equipment Association,foodservice equipment,GCAP22906,http://www.fea.org.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Geotab,geotab,GCAP22183,geotab.com,549300MWNADBMYPWXP32,Canada,Western European and Others Group (WEOG),,,Company,Services,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
GMDN Agency,gmdn agency,GCAP22912,https://www.gmdnagency.org,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Hume Planning consultancy Ltd,hume planning consultancy,GCAP22917,https://www.humeplanning.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
JCDecaux UK Limited,jcdecaux,GCAP21211,JCDecaux UK,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/06/2021,Other,,JCDecaux UK pledged to acheive net zero by 2030. Planet Mark Member. Read more here: https://www.jcdecaux.co.uk/our-vision/sustainability,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,
Muğla,muğla,GCAP22574,,,Turkey,Western European and Others Group (WEOG),,,City,,,17/06/2021,CDP-ICLEI Track,,Reporting also to MyCovenant,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
New Convenience Retailing,new convenience retailing,GCAP22915,http://nickshanagher.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
OTB,otb,,otbdiscs.com,5493003WJ89QZBXREG50,Italy,Western European and Others Group (WEOG),,,Company,Apparel,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Plan2moro.co.uk,plan2moro.co.uk,GCAP22918,http://www.plan2moro.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Prada Group,prada,GCAP22219,pradagroup.com,8156000FE0A2DC5B7852,Italy,Western European and Others Group (WEOG),,,Company,Apparel,,17/06/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Project One,project one,GCAP22916,http://www.projectone.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Real World Planning,real world planning,GCAP22905,http://www.realworldplanning.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
The Haberdashery,haberdashery,GCAP22761,the Haberdashery co,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/06/2021,Did not - support needed,,The Haberdashery pledged to achieve net zero by 2030.,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,
The Magnificent Basement Co Ltd,magnificent basement,GCAP22914,http://www.magnificentbasement.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Utelize,utelize,GCAP22909,http://utelize.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Virtus Energy,virtus energy,GCAP23571,http://www.virtusenergy.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Power generation,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Wealden Services Ltd,wealden services,GCAP22908,http://Wealdens.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,17/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
BT plc,bt plc,,btplc.com,213800LRO7NS5CYQMN21,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,17/06/2019,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
DECATHLON,decathlon,GCAP762,http://sustainability.decathlon.com/,,France,Western European and Others Group (WEOG),,,Company,Apparel,,17/06/2019,CDP,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
Bahir Dar University (BDU),bahir dar university bdu,,https://www.bdu.edu.et/,,Ethiopia,African Group,,,Higher Education,,,17/05/2023,Did not - joined less than 12 months ago,,,,Jul-24,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
Cuspid Healthcare Pvt. Ltd,cuspid healthcare,,http://www.cuspidhealth.in,,India,Asia-Pacific Group,,,SME,Health and social work,,17/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Filtech (India),filtech india,,http://www.filtech.in,,India,Asia-Pacific Group,,,SME,Metal products manufacturing,,17/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Finportal investments pvt ltd,finportal investments,,http://Finportalin.com,,India,Asia-Pacific Group,,,SME,Financial actor not insurance and pension,,17/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Infibrain Technologies LLP,infibrain technologies,,https://www.infibrain.com,,India,Asia-Pacific Group,,,SME,Information technology (IT) software and computer related activities,,17/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Mphlixx soapworks,mphlixx soapworks,,http://www.instagram.com/mphlixxsoapworks_official/,,India,Asia-Pacific Group,,,SME,Other manufacturing,,17/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
North Star Bricks Factory Private Limited,north star bricks factory,,,,India,Asia-Pacific Group,,,SME,Building services,,17/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
POPBROS INDUSTRIES,popbros industries,,http://www.popbros.com,,India,Asia-Pacific Group,,,SME,Textile manufacturing,,17/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
sarrosi,sarrosi,,http://sarrosi.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail and wholesale,,17/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Shri Guru Gobind Singh Public Sr Sec School,shri guru gobind singh sec school,,,,India,Asia-Pacific Group,,,SME,Education,,17/05/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
XPS Investment,xps investment,,https://www.xpsgroup.com/,,United Kingdom,Western European and Others Group (WEOG),XPS Group,<250M,Financial Institution,Services,,17/05/2023,Did not - joined less than 12 months ago,,Join date given as date joined Net Zero Investment Consultants Initiative,,Jul-24,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
"Brady Technology(Wuxi) Co.,Ltd.",brady technology wuxi,GCAP33031,http://www.bradycorp.com,,China,Asia-Pacific Group,,,SME,Manufacturing,,17/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Digital Native Group,digital native,GCAP32950,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
ePioneers,epioneers,GCAP32951,,,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Services,,17/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
GreenCo,greenco,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Linwater Caravan Park,linwater caravan,GCAP32938,http://www.linwater.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Hospitality,,17/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Mobilverkstan i mellansverige AB,mobilverkstan mellansverige,GCAP33043,http://www.mobilverkstan.se,,Sweden,Western European and Others Group (WEOG),,,SME,Services,,17/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
OLIKA,olika,,http://olika.nu,,Sweden,Western European and Others Group (WEOG),,,SME,Manufacturing,,17/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
UNDO,undo,GCAP33350,http://www.un-do.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/05/2022,Did not - joined less than 12 months ago,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,
Watchtower Security Solutions,watchtower security solutions,GCAP32839,http://wt-security.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Beta Design Consultants,beta design consultants,GCAP21832,http://www.betadc.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Bioregional,bioregional,GCAP15319,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
ChicoBag Company / To-Go Ware,chicobag to-go ware,,http://www.chicobag.com,,United States of America,Western European and Others Group (WEOG),,,SME,Retail,,17/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Furesø,furesø,GCAP21030,,,Denmark,Western European and Others Group (WEOG),,,City,,,17/05/2021,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Hubba,hubba,GCAP21877,http://Www.hubbauk.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Hvidovre,hvidovre,GCAP4258,,,Denmark,Western European and Others Group (WEOG),,,City,,,17/05/2021,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Randers,randers,GCAP18455,,,Denmark,Western European and Others Group (WEOG),,,City,,,17/05/2021,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Riverford,riverford,GCAP21795,https://www.riverford.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,17/05/2021,Own Website,,https://www.riverford.co.uk/planet-action/sustainability-report,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
Roskilde,roskilde,GCAP4263,,,Denmark,Western European and Others Group (WEOG),,,City,,,17/05/2021,CDP-ICLEI Track,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Skive,skive,GCAP5735,,,Denmark,Western European and Others Group (WEOG),,,City,,,17/05/2021,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Vordingborg,vordingborg,GCAP5749,,,Denmark,Western European and Others Group (WEOG),,,City,,,17/05/2021,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Authentic Solutions,authentic solutions,,http://N/A,,Singapore,Asia-Pacific Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,17/04/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Shiatsu Centre,shiatsu centre,,http://www.shiatsucentre.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Health and social work,,17/04/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
St John's CE Primary School,st john's ce primary school,,https://st-johns-maidstone.kent.sch.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Education,,17/04/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
T3 Consultants,t3 consultants,,http://t3-consultants.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Consultancy services other than legal,,17/04/2023,Did not - joined less than 12 months ago,,,,Oct-24,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Wolferstans LLP,wolferstans,,https://wolferstans.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,17/04/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
inC2,inc2,GCAP31242,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/04/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
"Dr. Bhanuben Nanavati College of Architecture, Pune",dr. bhanuben nanavati college architecture pune,,https://www.bnca.ac.in/,,India,Asia-Pacific Group,,,Higher Education,,,17/04/2021,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
Grigny,grigny,GCAP21054,,,France,Western European and Others Group (WEOG),,,City,,,17/04/2021,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,
Kesko Corporation,kesko,GCAP1493,https://www.kesko.fi/en/,743700OX6HSVMCAHPB95,Finland,Western European and Others Group (WEOG),,,Company,Retail,,17/04/2020,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Refinitiv,refinitiv,GCAP2168,refinitiv.com,254900KQDXW8C9GHT505,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,17/04/2020,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Allant Holdings LLC,allant,,http://www.allantfederal.com,,United States of America,Western European and Others Group (WEOG),,,SME,Information technology,,17/03/2024,SME Climate Hub,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Browncon Group Of Companies,browncon,,http://www.browncongroup.com,,Nigeria,African Group,,,SME,Finance - General,,17/03/2024,Did not - joined less than 12 months ago,,,,Apr-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Across the Pond,across pond,,http://www.acrossthepond.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,17/03/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
BASE Guitar Knobs,base guitar knobs,,https://baseguitarknobs.com/,,United States of America,Western European and Others Group (WEOG),,,SME,Plastic and rubber products manufacturing,,17/03/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
FSC Direct Ltd,fsc direct,,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,17/03/2023,,,,,Jul-24,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Amplify Goods,amplify goods,GCAP29174,http://www.amplifygoods.org,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Clenergy EV,clenergy,GCAP33298,https://www.clenergy-ev.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/03/2022,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Climate Action Catalyst,climate catalyst,GCAP31483,https://catalystconsultingsg.wixsite.com/catalyst,,Singapore,Asia-Pacific Group,,,SME,"Food, beverage & agriculture",,17/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Create Community CIC Ltd,create,GCAP31464,http://www.create-community.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Crystal Clean Service Ltd,crystal clean,GCAP31339,http://www.crystalcleanservice.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Cyrus,cyrus,,,,United Arab Emirates,Asia-Pacific Group,,,SME,Other,,17/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Hebridean Charcuterie from Croft No.9,hebridean charcuterie from croft no.9,GCAP31265,http://www.hebrideancharcuterie.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Jas P Wilson,jas p wilson,GCAP31447,http://www.jaspwilson.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,17/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
"McCormick & Company, Incorporated",mccormick,,mccormick.com,549300JQQA6MQ4OJP259,United States of America,Western European and Others Group (WEOG),,,Company,"Food, beverage & agriculture",,17/03/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Navigate Commercial Finance Ltd,navigate commercial finance,GCAP31393,http://www.navigatecf.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
NWIMS IT Support Ltd,nwims it support,GCAP31501,http://www.nwims.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Pablobarrioscoach,pablobarrioscoach,GCAP31440,http://Linkedin,,Spain,Western European and Others Group (WEOG),,,SME,Other,,17/03/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Radisson Hotel Group,radisson hotel,,"radissonhotels.com
linkedin.com/company/radisson-hotel-group
twitter.com/radissonhotels
youtube.com/radissonhotelgroup",,Belgium,Western European and Others Group (WEOG),,,Company,Hospitality,,17/03/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
University Partnerships Programme,university programme,,https://www.upp-ltd.com/,,United Kingdom,Western European and Others Group (WEOG),,,Company,Other,,17/03/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Axelos Ltd,axelos,GCAP20495,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
HWASEUNG Enterprise,hwaseung,,http://www.hsenterprise.co.kr/gnu/bbs/board.php?bo_table=news&wr_id=34,,South Korea,Asia-Pacific Group,,,Company,Apparel,,17/03/2021,CDP,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
INFINITEPAR,infinitepar,GCAP20733,http://www.infinitepar.com.br,,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Services,,17/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Johnson Controls International plc,johnson controls,,https://www.johnsoncontrols.com/,549300XQ6S1GYKGBL205,Ireland,Western European and Others Group (WEOG),,,Company,Manufacturing,,17/03/2021,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Papeles Comerciales,papeles comerciales,GCAP20849,http://papelco.com.gt,,Guatemala,Latin American and Caribbean Group (GRULAC),,,SME,Manufacturing,,17/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
PD Northern Asset Management Ltd,pd northern asset management,GCAP20854,http://www.pdnorthern-assetmanagement.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
ReMake,remake,GCAP20895,http://remake.video,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
SRK Tele Energy India Private Limited,srk tele energy india,GCAP20929,http://www.flexsol.in,,India,Asia-Pacific Group,,,SME,Manufacturing,,17/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
University of Waterloo,university waterloo,GCAP21356,https://uwaterloo.ca/sustainability,,Canada,Western European and Others Group (WEOG),,,Higher Education,,,17/03/2021,Own Website,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
A.G. Barr plc,barr,GCAP3,agbarr.co.uk,213800QWTXXXF8BNEC87,United Kingdom,Western European and Others Group (WEOG),,,Company,No sector specified,,17/02/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
blooloop Ltd,blooloop,GCAP29325,http://www.blooloop.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
British Broadcasting Corporation,british broadcasting,GCAP26518,www.bbc.co.uk,5493000IBP32UQZ0KL24,United Kingdom,Western European and Others Group (WEOG),,,Company,Other,,17/02/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Crystal Associates,crystal associates,GCAP29540,http://www.crystal-associates.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
"CTBC Financial Holding Co., Ltd.",ctbc financial,GCAP29541,http://www.ctbcholding.com/content/twhoo/en_tw/index.html,549300IWDYIFW6JXM387,,,,,Financial Institution,Services,,17/02/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Definity Financial Corporation,definity financial,GCAP29571,"https://www.definityfinancial.com
https://twitter.com/definityfc
https://www.instagram.com/definity.financial
https://www.linkedin.com/company/definity-financial",984500D5F3FC49D00C44,Canada,Western European and Others Group (WEOG),,,Financial Institution,,,17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
Documation Software Ltd,documation software,GCAP29605,https://www.documation.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/02/2022,Own Website,Own Website,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
Entrepreneurs Business Club,entrepreneurs club,GCAP29702,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
fecri,fecri,,https://enamorelingerie.com/,,Italy,Western European and Others Group (WEOG),,,SME,Other,,17/02/2022,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,
Flight Centre Travel Group,flight centre travel,GCAP29765,fctgl.com,254900BGNUI78EKEJY68,Australia,Western European and Others Group (WEOG),,,Company,Hospitality,,17/02/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
"Hasbro, Inc.",hasbro,GCAP1186,https://corporate.hasbro.com/en-us,549300NUB6D2R1ITYR45,United States of America,Western European and Others Group (WEOG),,,Company,Manufacturing,,17/02/2022,CDP,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
