Name,Name clean,GCAP ID,Website,LEI (if applicable),Country of HQ,UN Region,Parent company (if applicable),Annual Revenue in USD (if applicable),Type,Sector (if applicable),Assets Under Mgt. (if financial institution),Join Date (DD/MM/YYYY),Where did they publish in 2022?,Where did they publish in 2023?,Partner comment,Partner comment (Sep-24),Update round,Business Declares,Cities Race to Zero,Climate Action Accelerator,Exponential Roadmap Iniative,Fashion Industry Charter for Climate Action,Health Care without Harm,International Wineries for Climate Action (IWCA),Japan Climate Initiative (JCI),National Parks UK,Net Zero Asset Managers Initiative,Net Zero Banking Alliance,Net Zero Investment Consultants (NZIC),Net-Zero Asset Owner Alliance (NZAOA),Net-Zero Export Credit Agencies Alliance (NZECA),Paris Aligned Asset Owners (PAAO),Planet Mark,Pledge to Net Zero,Race to Zero for Universities and Colleges,SBTi,Scotch Whisky Association (SWA),SME Climate Hub,Sports for Climate Action Framework,Tech Zero,The Exchange Group - Net Zero Financial Services Providers Alliance Exchange Group (NZFSPA),Under 2 Coalition,Venture Climate Alliance (VCA),Partners
Mansions Foods and General Supplies,mansions foods supplies,GCAP31484,http://www.mamashee.com,470586,Ireland,Western European and Others Group (WEOG),,,SME,Manufacturing,,01/05/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Manchester Pipe and Site Services Limited,manchester pipe site services,GCAP31506,http://www.ManchesterPipeandSite.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,01/05/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Wemi Organics,wemi organics,GCAP31522,https://instagram.com/wemiorganic,,Nigeria,African Group,,,SME,Services,,30/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Golden Sheep Coffee,golden sheep coffee,GCAP31422,http://www.goldensheepcoffee.co.uk,GB305690607,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,29/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Social Socks Ltd,socks,GCAP31492,http://www.socialsocks.co.uk,Social Socks,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,29/04/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Wilton & Bain Ltd,wilton bain,,http://wilton-bain.com,GB777948059,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,28/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Hotel Urbano,hotel urbano,GCAP31377,,Hurb Co,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,"Food, beverage & agriculture",,28/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Sustainably Ever After,sustainably ever after,GCAP31382,https://www.sustainablyeverafter.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,28/04/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
"Lyra Group (consisting of Alpha Training, Rescue 2 and Face Fit)",lyra consisting alpha training rescue 2 face fit,GCAP31400,http://www.lyragroup.co.uk,782098206,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,28/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
MBP SERVICES,mbp services,GCAP31419,,,Trinidad and Tobago,Latin American and Caribbean Group (GRULAC),,,SME,Services,,28/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Jurassic Coast Ventures Ltd,jurassic coast ventures,GCAP31452,http://www.jurassiccoastventures.co.uk,11844109,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,28/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
GCL Building Technologies Ltd,gcl building technologies,GCAP31248,http://www.gcl.uk.com,702688922,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,27/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
2030hub,2030hub,GCAP21700,https://the2030hub.com,282797942,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,27/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Ipsa Consulting Limited,ipsa consulting,GCAP31272,http://www.ipsaconsulting.co.uk,13352911,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,26/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
TRACouk,tracouk,GCAP31368,http://www.tracouk.com,8707092,United Kingdom,Western European and Others Group (WEOG),,,SME,Transportation services,,26/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Ultrasound Blinds,ultrasound blinds,GCAP31480,http://www.ultrasoundblinds.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,26/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Enviromech Ltd,enviromech,GCAP31481,http://www.enviromech.co.uk,10129701,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,26/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Catherine Marche,catherine marche,GCAP31286,https://CatherineMarche-designs.com%20/%20@atherinemarche,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,25/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Greenkeeper,greenkeeper,GCAP31335,http://greenkeeperwakefield.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,25/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
NEW masterplanning,new masterplanning,GCAP31338,https://www.newmasterplanning.com/,GB884310423,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,25/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Green Republic Farms Limited,green republic farms,GCAP31360,,RC 1710372,Nigeria,African Group,,,SME,"Food, beverage & agriculture",,25/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
ReTree,retree,GCAP31445,http://retree.es,B42858761,Spain,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,25/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Hayden Associates,hayden associates,GCAP31309,http://www.haydenassociates.co.uk,13750622,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,24/04/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Fukuda Research Institute,fukuda research institute,GCAP31323,https://www.fukuda-ir.jp,株式会社福田総合研究所,Japan,Asia-Pacific Group,,,SME,Services,,24/04/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
riscarti festival,riscarti festival,GCAP31462,http://www.riscarti.com,,Italy,Western European and Others Group (WEOG),,,SME,Other,,24/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Littorary,littorary,GCAP31441,https://littorary.com/,,United States of America,Western European and Others Group (WEOG),,,SME,Retail,,23/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Truecore AB,truecore,GCAP31294,http://www.truecoreab.com,Truecore AB,Sweden,Western European and Others Group (WEOG),,,SME,Infrastructure,,22/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Instinct Marketing + PR,instinct marketing +,GCAP31300,http://www.instinctmarketingpr.com,SC445174,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,22/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
spv special projects ltd,special projects,GCAP31384,http://WWW.SPVSPECIALPROJECTS.CO.UK,928 7251 00,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,22/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
The Business Speakeasy Ltd,speakeasy,GCAP31397,http://www.thebusinessspeakeasy.com,321322458,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,22/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Novoma,novoma,GCAP31401,http://www.novoma.com,FR65844909820,France,Western European and Others Group (WEOG),,,SME,"Biotech, health care & pharma",,22/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Oriental Club,oriental club,GCAP31485,http://www.orientalclub.org.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Hospitality,,22/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Chumbe Island Coral Park (CHICOP),chumbe island coral chicop,,http://www.chumbeisland.com,TIN 101-195821,United Republic of Tanzania,Western European and Others Group (WEOG),,,SME,Hospitality,,22/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Boddice Accounting Ltd,boddice accounting,GCAP31518,http://www.boddiceaccounting.co.uk,SC715877,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,22/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
CEMA Ltd,cema,GCAP31331,http://www.cemaltd.co.uk,GB568003839,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,21/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
C H Contracting (South West) Ltd,h contracting south west,GCAP31343,http://www.chcontracting.co.uk,869840957,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,21/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
23red,23red,GCAP31390,https://www.23red.com/,3974936,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,21/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
OMPLIM Gestió i Edificació Responsable,omplim gestio edificacio responsable,,http://omplim.cat,ESB 67010355.00,Spain,Western European and Others Group (WEOG),,,SME,Services,,21/04/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
O'Keefe Demolition,o'keefe demolition,GCAP31420,http://www.okeefe.co.uk,3438766,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,21/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
C4X Discovery,c4x discovery,GCAP31490,https://www.c4xdiscovery.com/,9134041,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,21/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Learnroll LLC,learnroll,GCAP31503,http://www.learnroll.com,272544288,United States of America,Western European and Others Group (WEOG),,,SME,Services,,21/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Linwood Sawmill,linwood sawmill,GCAP31230,http://www.linwoodtimber.co.uk,9330848,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,20/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
DLK LEGAL KORUS SPOLKA KOMANDYTOWA,dlk legal korus komandytowa,GCAP31236,https://www.dlklegal.com/,PL6751432312,Poland,Eastern European Group,,,SME,Services,,20/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
CNZW Developments Ltd,cnzw developments,GCAP31337,http://www.cnzw.co.uk,13191657,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Timeless Images Ltd,timeless images,GCAP31363,http://www.timelessimagesphotos.co.uk,908634902,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,20/04/2022,Did not - support needed,Did not - support needed,,,Mar-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Maleeva Tennis Club,maleeva tennis club,GCAP31408,http://maleevaclub.com,BG121492673,Bulgaria,Eastern European Group,,,SME,Other,,20/04/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Civai caffè di riccardo malfatti,civai caffe di riccardo malfatti,,,2556730469,Italy,Western European and Others Group (WEOG),,,SME,Hospitality,,20/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Insuristic,insuristic,GCAP31465,https://insuristic.co.uk/,13926650,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Seelive Technologies Pvt. Ltd,seelive technologies,GCAP31469,http://seelive.co.in,,India,Asia-Pacific Group,,,SME,Services,,20/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Green Structural Engineering Ltd,green structural engineering,GCAP31476,http://www.gseltd.co.uk,6533911,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,20/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Hawkins Bros Fine English Wines,hawkins bros fine english wines,GCAP31487,http://www.hawkinsbros.co.uk%20@hawkinsbros,227498966,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,20/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
GBR Scaffolding,scaffolding,GCAP31498,http://www.gbrscaffolding.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,20/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
LEMON LOCKSMITH,lemon locksmith,GCAP31508,http://www.lemonlocksmith.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,20/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
WelcoMe,welcome,,http://wel-co.me,SC409943,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,19/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Practice Building Limited,practice building,GCAP31247,http://www.practicebuilding.co.uk,SC212182,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,19/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
CPMG Architects,cpmg architects,GCAP31351,http://www.cpmg-architects.com,CPMG Architects,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,19/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
MBA Costruzioni srl,mba costruzioni,GCAP31405,http://www.mbacostruzioni.com,5804290962,Italy,Western European and Others Group (WEOG),,,SME,Infrastructure,,19/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Craft Muhendislik Ltd. Sti.,craft muhendislik,GCAP31489,https://www.craftmuhendislik.com/,,Turkey,Western European and Others Group (WEOG),,,SME,Services,,19/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
MTA,mta,,,,Myanmar,Asia-Pacific Group,,,SME,"Food, beverage & agriculture",,19/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
TP Transcription Limited,transcription,,http://www.tptranscription.co.uk,4946815,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,18/04/2022,,Did not - support needed,,,Jul-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Ateha Climate Hub,ateha climate hub,GCAP31379,http://www.ateha.life,19367866000163,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Services,,18/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Carrma,carrma,GCAP31421,http://carrma.com,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,18/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
inC2,inc2,GCAP31242,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,17/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
green home construction services ltd,green home construction services,GCAP31276,http://greenhomeconstruction.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,15/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
CBBS Ltd,cbbs,GCAP31270,http://www.facebook.com/cbbsltd,9735940,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,14/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Lock East Ltd,lock east,GCAP31361,http://www.lockeast.co.uk,96090,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,14/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
GIRLGUIDING ANGLIA,girlguiding anglia,GCAP31320,http://girlguiding-anglia.org.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,13/04/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Peak Homes Yorkshire Ltd,peak homes yorkshire,GCAP31347,https://peakhomesyorkshire.co.uk,13022311,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,13/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
APIS Consulting Sdn Bhd,apis consulting,GCAP31380,,,Malaysia,Asia-Pacific Group,,,SME,Services,,13/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
SB,sb,GCAP31392,,,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Infrastructure,,13/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Orb Group,orb,GCAP31456,http://orbgroup.co.uk/glasgow/,693 9667 61,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,13/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
SourceCodeStudio,sourcecodestudio,GCAP31472,http://www.sourcecodestudio.co.uk,392139975,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,13/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
han,han,GCAP31482,http://s,1091548008,South Korea,Asia-Pacific Group,,,SME,"Food, beverage & agriculture",,13/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
LONDON SKILLS AND DEVELOPMENT NETWORK,london skills development network,GCAP31520,http://www.lsdn.org.uk,5798511,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,13/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
CATEDRA DE TRANSFORMACION SOCIAL UNIVERSIDAD COMPLUTENSE DE MADRID,catedra transformacion universidad complutense madrid,GCAP31256,https://www.transformacionsocialcompetitiva.com/,,Spain,Western European and Others Group (WEOG),,,SME,Other,,12/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Era Digital Marketing LLC,era digital marketing,GCAP31315,http://eradigitalmarketing.net,,United States of America,Western European and Others Group (WEOG),,,SME,Services,,12/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
MSK Doctors & Associates Limited,msk doctors associates,GCAP31340,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,12/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Digital Mobile Spectrum Limited,digital mobile spectrum,GCAP31402,https://dmsluk.com/,8247385,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,12/04/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Capitan. The online business platform,capitan. online platform,GCAP31442,https://capitan.website,13198574,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,12/04/2022,,Did not - support needed,,,Oct-23,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Wellfortune Industrial Equipment Trading Company,wellfortune industrial equipment trading,GCAP31474,,,China,Asia-Pacific Group,,,SME,Services,,12/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Zero Carbon Mouthful,zero carbon mouthful,GCAP31590,https://www.zerocarbonmouthful.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,11/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
AbSort Software Solutions B.V.,absort software solutions,GCAP31317,,,Netherlands,Western European and Others Group (WEOG),,,SME,Services,,11/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
David Morley Architects,david morley architects,GCAP31370,http://www.davidmorleyarchitects.co.uk,468705806,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,11/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Acclaro Advisory Limited,acclaro advisory,GCAP31514,http://www.acclaro-advisory.com,8024496,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,11/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Oak Planning,oak planning,GCAP31313,https://www.oakplanning.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,10/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Cheeky Pride,cheeky pride,GCAP31399,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Retail,,10/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Pest Defence Ltd,pest defence,GCAP31468,http://www.pestdefence.co.uk,529 3948 07,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,09/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Stoked Oats,stoked oats,GCAP31275,http://www.stokedoats.com,,Canada,Western European and Others Group (WEOG),,,SME,"Food, beverage & agriculture",,08/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Axiell ALM Ltd.,axiell alm,GCAP31352,https://www.axiell.com/uk/,7680482,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,08/04/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Access 1st,access 1st,GCAP31439,http://WWW.Access-1st.co.uk,7371761,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,08/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
DAP Consultancy Limited,dap consultancy,GCAP31296,https://www.dapconsultancy.co.uk,13495352,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,07/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Mima,mima,GCAP31297,http://www.mimagroup.com,1337532,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,07/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Euro Workspace Ltd,euro workspace,GCAP31372,http://www.yourworkspace.com,GB117707124,United Kingdom,Western European and Others Group (WEOG),,,SME,Manufacturing,,07/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Brothers Cleaning Group Ltd,brothers cleaning,GCAP31394,http://Brothers%20Cleaning%20Group,336336111,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,07/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
ROCMEP Limited,rocmep,GCAP31496,,ROCMEP Limited,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,07/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Orange Digital,orange digital,GCAP31233,http://orangedigital.com.au,,Australia,Western European and Others Group (WEOG),,,SME,Other,,06/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Silverstone Technology Cluster,silverstone technology cluster,GCAP31325,https://www.silverstonetechnologycluster.com/,10324273,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,06/04/2022,,Other,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Office Manager,manager,GCAP31433,http://Urban%20Surveying%20&%20Design%20Ltd%20@urban.surveying.design,897231881,United Kingdom,Western European and Others Group (WEOG),,,SME,Services,,06/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Bourne Group Ltd,bourne,GCAP31473,https://www.bournegroup.ltd/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,06/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Carbon Limit,carbon limit,GCAP31264,http://carbonlimit.com,,United States of America,Western European and Others Group (WEOG),,,SME,Infrastructure,,05/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
MAC Roofing & Contracting Ltd,mac roofing contracting,,http://www.macroofing.com,1224597,United Kingdom,Western European and Others Group (WEOG),,,SME,Infrastructure,,05/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Respontrade Sdn. Bhd.,respontrade,GCAP31371,http://www.respontrade.com,199901012346,Malaysia,Asia-Pacific Group,,,SME,Infrastructure,,05/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
Jennifer Limited,jennifer,GCAP31428,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other,,05/04/2022,,Did not - support needed,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,SME Climate Hub
